,name,description,number_of_employees,total_money_raised,category_code,tag_list,address1,address2,zip_code,city,state_code,country_code,latitude,longitude
180,Lexy,Corporate Headquarters,,$1.71M,games_video,"audio, mobile, music",589 Howard Street,Fifth Floor,94105,San Francisco,CA,USA,37.786906,-122.397672
187,ngmoco,Secret Factory,150.0,$44.8M,games_video,"gaming, iphone-games, mobile-games, mobile, iphone",185 Berry Street,Suite 3000,94107,San Francisco,CA,USA,37.7705096,-122.4015807
196,Shattered Reality Interactive,Main Office,10.0,$1.1M,games_video,"techcrunch50, tc50, games, mmo, social, online, casual-games",490 2nd Street,Suite 100,94107,San Francisco,CA,USA,37.783046,-122.394067
216,Brightstorm,Headquarters,,$6M,games_video,"video, education, learning","685 Market St. Street, Suite 270",,94105,San Francisco,CA,USA,37.804619,-122.371203
219,One Season,,,$3.75M,games_video,"sports, market, stockmarket",,,,San Francisco,CA,USA,37.775196,-122.419204
222,Booyah,Booyah Inc.,,$59.5M,games_video,"iphone, real-world-gaming, location-based-gaming, gps, ipod-touch, mytown, monopoly, location-based, check-in, real-world, offers, avatar, mmo, mobile, mobile-games, social-game, social-games","139 Townsend Street, 3rd Floor",,94107,San Francisco,CA,USA,37.420728,-122.2103414
223,GotGame,GotGame HQ,15.0,$1M,games_video,"games, video-games, videos, gaming-videos, news, gaming-news, in-game, chat, communication, instant-messaging, voice-chat",1 Bluxome Place,Suite 204,94107,San Francisco,CA,USA,37.77772,-122.395785
224,For Your Imagination,HQ,10.0,$1.3M,games_video,"online-video, video-marketing, marketing, branded-entertainment",22 West 27th Street,6th Floor,10001,New York,NY,USA,40.744594,-73.989698
240,Robotgalaxy,,,$12M,games_video,,"41 Union Square West,",Suite 808,10003,New York,NY,USA,40.737216,-73.990947
244,Heyzap,Head Quaters,,$7.97M,games_video,"games, games-developers","3rd Floor, 251 Kearny Street",Kearny Street,94108,San Francisco,CA,USA,37.7905538,-122.4041485
249,Comixology,Main Office,,$3.47M,games_video,,159 West 25th Street 9th floor,,10010-4436,New York,NY,USA,40.740512,-73.987794
261,Major League Gaming,Corporate Headquarters,45.0,$69M,games_video,"mlg, gaming, halo, competitive, tournament, gamebattles",3 Park Avenue,32nd Floor,10016,New York,NY,USA,40.752672,-73.97593
264,Crispy Gamer,,,$8.25M,games_video,"videogaming, community, editorial, the-game-trust, multimedia-syndication",35 West 36th Street,Suite 4W,10018,New York,NY,USA,40.750597,-73.985273
299,Saavn,Corporate Headquarters,25.0,$6M,games_video,"bollywood, music, streaming, south-asian, india",,,10016,New York,NY,USA,40.743877,-73.98618
302,GameGround,HQ,25.0,$11.4M,games_video,"achievements, gaming, online-gaming, share, gaming-identity, online, compete, gaming-experience, gamification, badges, meta-game",,,,New York,NY,USA,40.756054,-73.986951
311,Exent,Sales & Marketing,100.0,$3M,games_video,"games, videogames, games-on-demand, video-games",632 W. 28th St.,8th Floor,10001,New York,NY,USA,40.7523796,-74.005568
313,Exent,Premium Services,100.0,$3M,games_video,"games, videogames, games-on-demand, video-games",685 Market Street,Suite 560,94105,San Francisco,CA,USA,37.787646,-122.402759
